,load,time
0,1805.55,2019-01-03 00:00:00
1,1757.29,2019-01-03 00:15:00
2,1704.85,2019-01-03 00:30:00
3,1648.19,2019-01-03 00:45:00
4,1608.99,2019-01-03 01:00:00
5,1577.66,2019-01-03 01:15:00
6,1550.34,2019-01-03 01:30:00
7,1534.09,2019-01-03 01:45:00
8,1521.17,2019-01-03 02:00:00
9,1517.88,2019-01-03 02:15:00
10,1485.32,2019-01-03 02:30:00
11,1478.11,2019-01-03 02:45:00
12,1469.18,2019-01-03 03:00:00
13,1473.41,2019-01-03 03:15:00
14,1473.65,2019-01-03 03:30:00
15,1485.0,2019-01-03 03:45:00
16,1511.25,2019-01-03 04:00:00
17,1539.67,2019-01-03 04:15:00
18,1591.42,2019-01-03 04:30:00
19,1644.92,2019-01-03 04:45:00
20,1755.61,2019-01-03 05:00:00
21,1878.4,2019-01-03 05:15:00
22,2022.47,2019-01-03 05:30:00
23,2219.48,2019-01-03 05:45:00
24,2406.56,2019-01-03 06:00:00
25,2708.7,2019-01-03 06:15:00
26,2959.0,2019-01-03 06:30:00
27,3138.38,2019-01-03 06:45:00
28,3297.92,2019-01-03 07:00:00
29,3481.57,2019-01-03 07:15:00
30,3557.42,2019-01-03 07:30:00
31,3608.94,2019-01-03 07:45:00
32,3670.03,2019-01-03 08:00:00
33,3698.52,2019-01-03 08:15:00
34,3716.66,2019-01-03 08:30:00
35,3723.78,2019-01-03 08:45:00
36,3753.2,2019-01-03 09:00:00
37,3817.87,2019-01-03 09:15:00
38,3862.65,2019-01-03 09:30:00
39,3947.8,2019-01-03 09:45:00
40,3951.94,2019-01-03 10:00:00
41,3838.42,2019-01-03 10:15:00
42,3804.78,2019-01-03 10:30:00
43,3879.63,2019-01-03 10:45:00
44,3816.85,2019-01-03 11:00:00
45,3767.71,2019-01-03 11:15:00
46,3699.41,2019-01-03 11:30:00
47,3657.21,2019-01-03 11:45:00
48,3605.87,2019-01-03 12:00:00
49,3544.13,2019-01-03 12:15:00
50,3475.9,2019-01-03 12:30:00
51,3413.89,2019-01-03 12:45:00
52,3160.97,2019-01-03 13:00:00
53,3016.96,2019-01-03 13:15:00
54,2975.22,2019-01-03 13:30:00
55,3017.78,2019-01-03 13:45:00
56,2991.48,2019-01-03 14:00:00
57,2975.5,2019-01-03 14:15:00
58,2974.1,2019-01-03 14:30:00
59,2945.92,2019-01-03 14:45:00
60,2897.7,2019-01-03 15:00:00
61,2877.61,2019-01-03 15:15:00
62,2858.81,2019-01-03 15:30:00
63,2838.38,2019-01-03 15:45:00
64,2833.06,2019-01-03 16:00:00
65,2830.64,2019-01-03 16:15:00
66,2862.92,2019-01-03 16:30:00
67,2841.19,2019-01-03 16:45:00
68,2895.93,2019-01-03 17:00:00
69,2924.89,2019-01-03 17:15:00
70,2972.23,2019-01-03 17:30:00
71,3058.62,2019-01-03 17:45:00
72,3070.84,2019-01-03 18:00:00
73,3168.27,2019-01-03 18:15:00
74,3250.75,2019-01-03 18:30:00
75,3289.15,2019-01-03 18:45:00
76,3276.3,2019-01-03 19:00:00
77,3175.09,2019-01-03 19:15:00
78,3186.75,2019-01-03 19:30:00
79,3139.03,2019-01-03 19:45:00
80,3067.0,2019-01-03 20:00:00
81,2995.13,2019-01-03 20:15:00
82,2918.3,2019-01-03 20:30:00
83,2802.4,2019-01-03 20:45:00
84,2701.29,2019-01-03 21:00:00
85,2635.03,2019-01-03 21:15:00
86,2583.37,2019-01-03 21:30:00
87,2534.86,2019-01-03 21:45:00
88,2460.38,2019-01-03 22:00:00
89,2363.29,2019-01-03 22:15:00
90,2303.3,2019-01-03 22:30:00
91,2207.19,2019-01-03 22:45:00
92,2117.36,2019-01-03 23:00:00
