Time,Location,tavg,wspd
2019-01-01,Delhi,12.6,2.4
2019-01-02,Delhi,13.7,1.8
2019-01-03,Delhi,13.3,5.4
2019-01-04,Delhi,12.8,4.6
2019-01-05,Delhi,13.2,5.3
2019-01-06,Delhi,13.9,4.6
2019-01-07,Delhi,13.0,4.7
2019-01-08,Delhi,12.8,6.5
2019-01-09,Delhi,13.1,8.2
2019-01-10,Delhi,12.7,4.2
2019-01-11,Delhi,12.8,1.7
2019-01-12,Delhi,13.3,1.8
2019-01-13,Delhi,14.5,3.2
2019-01-14,Delhi,13.7,10.6
2019-01-15,Delhi,12.3,8.9
2019-01-16,Delhi,12.0,1.9
2019-01-17,Delhi,12.8,2.1
2019-01-18,Delhi,12.8,4.4
2019-01-19,Delhi,14.3,2.8
2019-01-20,Delhi,16.4,2.0
2019-01-21,Delhi,16.4,9.7
2019-01-22,Delhi,14.5,8.5
2019-01-23,Delhi,13.8,2.8
2019-01-24,Delhi,14.8,3.6
2019-01-25,Delhi,13.4,5.4
2019-01-26,Delhi,12.2,6.5
2019-01-27,Delhi,11.5,11.5
2019-01-28,Delhi,12.1,8.5
2019-01-29,Delhi,12.4,5.9
2019-01-30,Delhi,12.7,4.5
2019-01-31,Delhi,14.2,6.6
2019-02-01,Delhi,16.3,5.7
2019-02-02,Delhi,12.9,8.8
2019-02-03,Delhi,13.4,7.6
2019-02-04,Delhi,14.3,3.6
2019-02-05,Delhi,16.4,2.4
2019-02-06,Delhi,19.5,5.7
2019-02-07,Delhi,16.5,17.1
2019-02-08,Delhi,14.9,7.6
2019-02-09,Delhi,14.8,8.9
2019-02-10,Delhi,13.5,6.5
2019-02-11,Delhi,14.7,4.4
2019-02-12,Delhi,16.2,1.7
2019-02-13,Delhi,17.5,3.0
2019-02-14,Delhi,17.7,7.3
2019-02-15,Delhi,17.6,7.0
2019-02-16,Delhi,16.0,6.8
2019-02-17,Delhi,15.8,7.9
2019-02-18,Delhi,17.6,6.6
2019-02-19,Delhi,18.7,4.2
2019-02-20,Delhi,18.3,4.6
2019-02-21,Delhi,21.6,7.5
2019-02-22,Delhi,19.1,12.2
2019-02-23,Delhi,16.9,15.3
2019-02-24,Delhi,17.0,8.0
2019-02-25,Delhi,16.7,3.6
2019-02-26,Delhi,16.0,6.4
2019-02-27,Delhi,14.8,5.6
2019-02-28,Delhi,14.5,7.2
2019-03-01,Delhi,15.6,5.3
2019-03-02,Delhi,15.2,4.7
2019-03-03,Delhi,17.1,5.7
2019-03-04,Delhi,19.1,5.5
2019-03-05,Delhi,18.4,7.2
2019-03-06,Delhi,17.4,6.9
2019-03-07,Delhi,18.1,4.5
2019-03-08,Delhi,19.0,4.4
2019-03-09,Delhi,20.6,6.3
2019-03-10,Delhi,19.2,5.4
2019-03-11,Delhi,20.9,9.2
2019-03-12,Delhi,21.0,4.7
2019-03-13,Delhi,19.9,4.2
2019-03-14,Delhi,18.3,6.1
2019-03-15,Delhi,18.9,6.1
2019-03-16,Delhi,19.5,5.8
2019-03-17,Delhi,20.8,5.9
2019-03-18,Delhi,20.7,4.0
2019-03-19,Delhi,22.5,3.1
2019-03-20,Delhi,24.9,5.8
2019-03-21,Delhi,24.5,4.2
2019-03-22,Delhi,23.5,9.3
2019-03-23,Delhi,23.5,11.0
2019-03-24,Delhi,24.3,7.8
2019-03-25,Delhi,23.7,7.2
2019-03-26,Delhi,23.3,8.5
2019-03-27,Delhi,24.2,7.8
2019-03-28,Delhi,26.1,3.0
2019-03-29,Delhi,27.9,4.1
2019-03-30,Delhi,29.4,5.6
2019-03-31,Delhi,28.8,10.9
2019-04-01,Delhi,27.7,10.3
2019-04-02,Delhi,26.6,4.6
2019-04-03,Delhi,27.7,5.8
2019-04-04,Delhi,28.8,4.4
2019-04-05,Delhi,29.6,5.0
2019-04-06,Delhi,33.6,7.0
2019-04-07,Delhi,30.8,9.4
2019-04-08,Delhi,27.9,7.6
2019-04-09,Delhi,29.1,5.0
2019-04-10,Delhi,30.5,5.2
2019-04-11,Delhi,31.1,5.2
2019-04-12,Delhi,30.6,6.8
2019-04-13,Delhi,31.4,9.4
2019-04-14,Delhi,32.2,7.9
2019-04-15,Delhi,32.4,7.3
2019-04-16,Delhi,26.0,10.5
2019-04-17,Delhi,24.3,11.7
2019-04-18,Delhi,25.8,6.6
2019-04-19,Delhi,27.5,6.4
2019-04-20,Delhi,27.6,3.9
2019-04-21,Delhi,29.3,5.7
2019-04-22,Delhi,30.6,4.5
2019-04-23,Delhi,32.1,5.0
2019-04-24,Delhi,34.1,8.4
2019-04-25,Delhi,33.8,7.9
2019-04-26,Delhi,32.9,6.7
2019-04-27,Delhi,33.7,10.2
2019-04-28,Delhi,33.7,9.3
2019-04-29,Delhi,33.7,6.1
2019-04-30,Delhi,34.4,5.8
